#,question,a,b,c,d,correct_answer,category
34,Η θητεία των μελών της Επιτροπής και του Ευρωπαϊκού Κοινοβουλίου είναι:,Πενταετής και συμπίπτει χρονικά διότι το Κοινοβούλιο ασκεί έλεγχο στη δράση της Επιτροπής.,Πενταετής και δεν συμπίπτει χρονικά ώστε να αλλάζουν τα πρόσωπα που ελέγχουν και ελέγχονται.,Τετραετής και συμπίπτει χρονικά διότι το Κοινοβούλιο ασκεί έλεγχο στη δράση της Επιτροπής.,Τετραετής και δεν συμπίπτει χρονικά ώστε να αλλάζουν τα πρόσωπα που ελέγχουν και ελέγχονται.,0,Ευρωπαϊκοί Θεσμοί και Δίκαιο
35,Οι αποφάσεις του Δικαστηρίου της Ευρωπαϊκής Ένωσης στο πλαίσιο της διαδικασίας προδικαστικής παραπομπής:,Έχουν πάντα αναδρομική ισχύ (ex tunc),"Έχουν αναδρομική ισχύ, με δυνατότητα περιορισμού της μόνο για το μέλλον από το Δικαστήριο της Ευρωπαϊκής Ένωσης",Έχουν πάντα ισχύ για το μέλλον (ex nunc),"Έχουν ισχύ για το μέλλον, με δυνατότητα επέκτασης στο παρελθόν από το Δικαστήριο της Ευρωπαϊκής Ένωσης",1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
36,Ποια από τις παρακάτω δράσεις της Ευρωπαϊκής Ένωσης αναπτύχθηκε στο πλαίσιο ενισχυμένης συνεργασίας;,Το ευρωπαϊκό ένταλμα σύλληψης,Η δικαστική συνεργασία σε ποινικές υποθέσεις,Η ίδρυση της Ευρωπαϊκής Εισαγγελίας,Η ίδρυση της Ευρωπαϊκής Υπηρεσίας Καταπολέμησης της Απάτης,2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
37,Το προδικαστικό ερώτημα που εθνικό δικαστήριο απευθύνει στο Δικαστήριο της Ευρωπαϊκής Ένωσης μπορεί να αφορά:,Ζητήματα ερμηνείας των Συνθηκών και των πράξεων του παράγωγου δικαίου της Ευρωπαϊκής Ένωσης,Ζητήματα κύρους των πράξεων του παράγωγου δικαίου της Ευρωπαϊκής Ένωσης,Ζητήματα ερμηνείας των Συνθηκών και ζητήματα ερμηνείας και κύρους των πράξεων του παράγωγου δικαίου της Ευρωπαϊκής Ένωσης,Ζητήματα ερμηνείας των Συνθηκών και ζητήματα κύρους των πράξεων του παράγωγου δικαίου της Ευρωπαϊκής Ένωσης,2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
38,Εάν ένα εθνικό δικαστήριο διαπιστώσει ότι διάταξη εθνικού νόμου αντιβαίνει σε διάταξη κανονισμού της Ευρωπαϊκής Ένωσης υποχρεούται να:,Ακυρώσει τη διάταξη του εθνικού νόμου,Αφήσει ανεφάρμοστη τη διάταξη του εθνικού νόμου,Αφήσει ανεφάρμοστη τη διάταξη του κανονισμού της Ευρωπαϊκής Ένωσης,Αποστείλει σχετικό προδικαστικό ερώτημα στο Δικαστήριο της Ευρωπαϊκής Ένωσης,1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
39,Σε ποιο από τα ακόλουθα θεσμικά όργανα της Ευρωπαϊκής Ένωσης η διαδικασία της λήψης των αποφάσεων ΔΕΝ στηρίζεται στον υπερεθνικό χαρακτήρα της διακυβέρνησης:,Ευρωπαϊκή Επιτροπή,Συμβούλιο,Ευρωπαϊκή Κεντρική Τράπεζα,Δικαστήριο της Ευρωπαϊκής Ένωσης,1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
40,Η Ευρωπαϊκή Κεντρική Τράπεζα:,Υλοποιεί τις κατευθύνσεις του Ευρωπαϊκού Κοινοβουλίου σε σχέση με τη νομισματική πολιτική του ευρώ,Χαράσσει σε συνεργασία με την Ευρωπαϊκή Επιτροπή τη νομισματική πολιτική του ευρώ,Αποφασίζει με πλήρη ανεξαρτησία για τη νομισματική πολιτική του ευρώ,Εκτελεί τις αποφάσεις του Ευρωπαϊκού Συμβουλίου για τη νομισματική πολιτική του ευρώ,2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
41,Ο Ευρωπαϊκός Μηχανισμός Σταθερότητας (European Stability Mechanism):,"Είναι μηχανισμός της Ευρωπαϊκής Επιτροπής που χορηγεί δάνεια σε ευρωπαϊκά πιστωτικά ιδρύματα, τα οποία αντιμετωπίζουν χρηματοδοτικές δυσκολίες","Είναι μηχανισμός της τραπεζικής ένωσης της ζώνης του ευρώ, του οποίου ρόλος είναι η ρύθμιση και εποπτεία των πιστωτικών ιδρυμάτων",Είναι διακυβερνητικός οργανισμός που παρέχει χρηματοδοτική συνδρομή (δάνεια) σε χώρες της ζώνης του ευρώ που αντιμετωπίζουν χρηματοδοτικές δυσκολίες,Είναι μηχανισμός της Ευρωπαϊκής Ένωσης που εποπτεύει τη δημοσιονομική κατάσταση των κρατών μελών,2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
42,Το Eurogroup:,Είναι ένα θεσμικό όργανο της ΕΕ,Είναι η σύνοδος των Υπουργών Οικονομικών όλων των κρατών μελών της ΕΕ,Είναι ένα άτυπο όργανο που δεν αναφέρεται στις Συνθήκες αλλά έχει εγκαθιδρυθεί στην πράξη,Είναι ένα forum διαβουλεύσεων μεταξύ των Υπουργών Οικονομικών όλων των κρατών μελών της Ευρωζώνης,3,Ευρωπαϊκοί Θεσμοί και Δίκαιο
43,Οι πράξεις της Ευρωπαϊκής Κεντρικής Τράπεζας:,Δεν προσβάλλονται με προσφυγή ακυρώσεως ενώπιον των δικαιοδοτικών οργάνων της Ευρωπαϊκής Ένωσης,Προσβάλλονται με προσφυγή ακυρώσεως μόνο από τα κράτη μέλη και τα θεσμικά ενωσιακά όργανα,Προσβάλλονται με προσφυγή ακυρώσεως και από τους ιδιώτες εφόσον τους αφορούν άμεσα και ατομικά,Δεν είναι νομικά δεσμευτικές για τις εθνικές αρχές,2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
44,Με νομοθετική πράξη μπορεί να ανατίθεται στην Ευρωπαϊκή Επιτροπή η εξουσία έκδοσης μη νομοθετικών πράξεων γενικής ισχύος που:,Συμπληρώνουν ή τροποποιούν μη ουσιώδη στοιχεία της νομοθετικής πράξης,Συμπληρώνουν ή τροποποιούν στοιχεία της νομοθετικής πράξης,Θεσπίζουν τα αναγκαία μέτρα για την εκτέλεση της νομοθετικής πράξης,Θεσπίζουν τα αναγκαία μέτρα για τη μεταφορά της νομοθετικής πράξης στα εθνικά δίκαια,0,Ευρωπαϊκοί Θεσμοί και Δίκαιο
45,"Όταν ένα κράτος μέλος παραβιάζει το ενωσιακό δίκαιο κατά τρόπο που προκαλεί ζημία στους ιδιώτες, αυτοί μπορούν να ζητήσουν αποκατάσταση της ζημίας τους:",Με αγωγή αποζημίωσης ενώπιον των εθνικών δικαστηρίων του κράτους μέλους,Με αγωγή αποζημίωσης ενώπιον του Γενικού Δικαστηρίου της Ευρωπαϊκής Ένωσης,Με αγωγή αποζημίωσης ενώπιον του Δικαστηρίου της Ευρωπαϊκής Ένωσης,Με προσφυγή ενώπιον του Ευρωπαϊκού Δικαστηρίου Ανθρωπίνων Δικαιωμάτων (ΕΔΔΑ) κατόπιν εξαντλήσεως των εσωτερικών ενδίκων μέσων,0,Ευρωπαϊκοί Θεσμοί και Δίκαιο
46,"Εάν ένα κράτος μέλος παραβιάζει συστηματικά θεμελιώδεις αξίες της Ένωσης, όπως το κράτος δικαίου, τι από τα παρακάτω μπορεί να γίνει;;",Να εκδιωχθεί το εν λόγω κράτος μέλος από την Ένωση κατόπιν ομόφωνης απόφασης του Ευρωπαϊκού Συμβουλίου που πρέπει να εγκριθεί από το Ευρωπαϊκό Κοινοβούλιο,Το Ευρωπαϊκό Συμβούλιο δύναται να του απευθύνει συστάσεις,Η Επιτροπή δύναται να του επιβάλει κυρώσεις,"Το Ευρωπαϊκό Συμβούλιο δύναται να διαπιστώσει την παραβίαση και, ακολούθως, το Συμβούλιο να επιβάλει κυρώσεις",3,Ευρωπαϊκοί Θεσμοί και Δίκαιο
